Vendor,Job,Date,PO No.,Item,Description,Qty.,Rate,Unit,Amount,Tax
Advanced Piping Products Inc.,Field\Fabrication Job,2022-09-16,6958-551,30635,"8"" GASKET 900# RTJ, SOFT IRON, TYPE R OCTAGONAL RING, 90 BRINELLL MAX. HARDNESS, R49",2,$1.0,,$2.0,4.3300%
Advanced Piping Products Inc.,Field\Fabrication Job,2022-09-16,6958-551,30635,"8"" GASKET 600# RF 1/8"" SPIRALWOUND 316LSS WINDING, FLEXICARB FILLER, CS GUIDE RING, 316LSS INNER RING, FLEXITALLIC CGI GREEN w/ GRAY STRIPE",1,$2.0,,$2.0,4.3300%
Advanced Piping Products Inc.,Field\Fabrication Job,2022-09-16,6958-551,30635,"8"" GASKET 300# RF 1/8"" SPIRALWOUND 316LSS WINDING, FLEXICARB FILLER, CS GUIDE RING, 316LSS INNER RING, FLEXITALLIC CGI GREEN w/ GRAY STRIPE",1,$3.0,,$3.0,4.3300%
Advanced Piping Products Inc.,Field\Fabrication Job,2022-09-16,6958-551,30635,"8"" GASKET 150# RF 1/8"" SPIRALWOUND 316LSS WINDING, FLEXICARB FILLER, CS GUIDE RING, 316LSS INNER RING, FLEXITALLIC CGI GREEN w/ GRAY STRIPE",2,$4.0,,$8.0,4.3300%
Advanced Piping Products Inc.,Field\Fabrication Job,2022-09-16,6958-551,30635,"6"" GASKET 900# RTJ, SOFT IRON, TYPE R OCTAGONAL RING, 90 BRINELL MAX. HARDNESS, R45",2,$5.0,,$10.0,4.3300%
Advanced Piping Products Inc.,Field\Fabrication Job,2022-09-16,6958-551,30635,"6"" GASKET 600# RF 1/8"" SPIRALWOUND 316LSS WINDING, FLEXICARB FILLER, CS GUIDE RING, 316LSS INNER RING, FLEXITALLIC CGI GREEN w/ GRAY STRIPE",2,$6.0,,$12.0,4.3300%
Advanced Piping Products Inc.,Field\Fabrication Job,2022-09-16,6958-551,30635,"6"" GASKET 300# RF 1/8"" SPIRALWOUND 316LSS WINDING, FLEXICARB FILLER, CS GUIDE RING, 316LSS INNER RING, FLEXITALLIC CGI GREEN w/ GRAY STRIPE",2,$7.0,,$14.0,4.3300%
Advanced Piping Products Inc.,Field\Fabrication Job,2022-09-16,6958-551,30635,"6"" GASKET 150# RF 1/8"" SPIRALWOUND 316LSS WINDING, FLEXICARB FILLER, CS GUIDE RING, 316LSS INNER RING, FLEXITALLIC CGI GREEN w/ GRAY STRIPE",1,$8.0,,$8.0,4.3300%
Advanced Piping Products Inc.,Field\Fabrication Job,2022-09-16,6958-551,30635,"4"" GASKET 300# RF 1/8"" SPIRALWOUND 316LSS WINDING, FLEXICARB FILLER, CS GUIDE RING, 316LSS INNER RING, FLEXITALLIC CGI GREEN w/ GRAY STRIPE",1,$9.0,,$9.0,4.3300%
Advanced Piping Products Inc.,Field\Fabrication Job,2022-09-16,6958-551,30635,"4"" GASKET 150# RF 1/8"" SPIRALWOUND 316LSS WINDING, FLEXICARB FILLER, CS GUIDE RING, 316LSS INNER RING, FLEXITALLIC CGI GREEN w/ GRAY STRIPE",2,$10.0,,$20.0,4.3300%
