Vendor,Job,Date,PO No.,Item,Description,Qty.,Rate,Unit,Amount,Tax
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"8"" EZ-LINE I-ROD U-BOLT & HALF ROUND ""EZ-IR-SCH-UB"" PER TARGA STD DWG",2,$1.0,,$2.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"7/8"" x 6"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, W/ 1MIL BLACK PHOSPHATE COATING",12,$2.0,,$24.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"7/8"" x 6"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN ",4,$3.0,,$12.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"7/8"" x 6 1/2"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN ",2,$4.0,,$8.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"7/8"" x 5 1/2"" STUD BOLT A193-Gr.B7 with (1) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN ",2,$5.0,,$10.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"6"" U-BOLT, U-1 B-LINE B3188, GRINNELL 137 or SELECT APPROVED EQUAL (SEE DETAIL 7186-0000-9541)",2,$6.0,,$12.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"5/8"" x 6 3/4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN ",4,$7.0,,$28.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"5/8"" x 5"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN ",10,$8.0,,$80.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"5/8"" x 5 3/4"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.7L HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN  ",2,$9.0,,$18.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"5/8"" x 5 1/4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN ",4,$10.0,,$40.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"5/8"" x 5 1/2"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.7L HEAVY HEX NUTS, CADMIUM PLATED PER ASTM   F1941-(Fe/Cd) 8AN ",10,$11.0,,$110.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"5/8"" x 5 1/2"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941 (Fe/Cd) 8AN",2,$12.0,,$24.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"5/8"" x 4"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.L7 HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN ",2,$13.0,,$26.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"5/8"" x 4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM   F1941-(Fe/Cd) 8AN ",8,$14.0,,$112.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"5/8"" x 4 3/4"" STUD BOLT A320-Gr.B8 with (2) A194-Gr.8 HEAVY HEX NUTS, ANNEALED AND STRAIN HARDENED CLASS 2",2,$15.0,,$30.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"5/8"" x 4 3/4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM   F1941-(Fe/Cd) 8AN ",4,$16.0,,$64.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"5/8"" x 3"" MACHINE BOLT A325 w/ (1) ASTM A563-Gr.DH HEAVY HEX NUT, & (1) LOCK WASHER EACH, ZINC PLATED.",6,$17.0,,$102.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"5/8"" x 3 3/4"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.L7 HEAVY HEX NUTS, CADMIUM PLATED PER ASTM   F1941-(Fe/Cd) 8AN ",2,$18.0,,$36.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"5/8"" x 3 3/4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941 (Fe/Cd) 8AN",2,$19.0,,$38.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"4"" EZ-LINE I-ROD U-BOLT & HALF ROUND ""EZ-IR-SCH-UB"" PER TARGA STD DWG",2,$20.0,,$40.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"3/4"" x 6"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN ",2,$21.0,,$42.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"3/4"" x 6 3/4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, W/ 1MIL BLACK PHOSPHATE COATING",2,$22.0,,$44.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"3/4"" x 6 1/4"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",2,$23.0,,$46.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"3/4"" x 6 1/4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN  ",4,$24.0,,$96.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"3/4"" x 6 1/2"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN ",18,$25.0,,$450.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"3/4"" x 5"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, W/ 1MIL BLACK PHOSPHATE COATING",2,$26.0,,$52.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"3/4"" x 5"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM   F1941-(Fe/Cd) 8AN ",10,$27.0,,$270.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"3/4"" x 5 1/4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, W/ 1MIL BLACK PHOSPHATE COATING",4,$28.0,,$112.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"3/4"" x 5 1/2"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",6,$29.0,,$174.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"3/4"" x 5 1/2"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN  ",10,$30.0,,$300.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"3/4"" x 4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN ",2,$31.0,,$62.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"3/4"" x 4 3/4"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.L7 HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN ",2,$32.0,,$64.0,6.3330%
Lee Supply,Field\Fabrication Job,2022-09-16,69580-0001,30635,"3/4"" x 4 3/4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, W/ 1MIL BLACK PHOSPHATE COATING",4,$33.0,,$132.0,6.3330%
