Vendor,Job,Date,PO No.,Item,Description,Qty.,Rate,Unit,Amount,Tax
Airgas USA  LLC,Corporate Office,2022-09-09,800-001,10NA,1/8 tig wire 304 l,25,$3.25,pound,$81.25,6.333%
Airgas USA  LLC,Corporate Office,2022-09-09,800-001,10NA,1/8 x 3 grinding rocks,3,$6.99,ea,$20.97,6.333%
Airgas USA  LLC,Corporate Office,2022-09-09,800-001,10645,"5/8"" x 4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM   F1941-(Fe/Cd) 8AN ",26,$0.0,,$0.0,6.333%
Airgas USA  LLC,Corporate Office,2022-09-09,800-001,10645,"5/8"" x 4"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.L7 HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN ",10,$0.0,,$0.0,6.333%
Airgas USA  LLC,Corporate Office,2022-09-09,800-001,10645,"5/8"" x 4"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",14,$0.0,,$0.0,6.333%
Airgas USA  LLC,Corporate Office,2022-09-09,800-001,10645,"5/8"" x 4 3/4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM   F1941-(Fe/Cd) 8AN ",36,$0.0,,$0.0,6.333%
Airgas USA  LLC,Corporate Office,2022-09-09,800-001,10645,"5/8"" x 4 3/4"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.7L HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN ",44,$0.0,,$0.0,6.333%
Airgas USA  LLC,Corporate Office,2022-09-09,800-001,10645,"5/8"" x 4 3/4"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",26,$0.0,,$0.0,6.333%
Airgas USA  LLC,Corporate Office,2022-09-09,800-001,10645,"5/8"" x 6 1/2"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.7L HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN ",8,$0.0,,$0.0,6.333%
Airgas USA  LLC,Corporate Office,2022-09-09,800-001,10645,"3/4"" x 4 3/4"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",6,$0.0,,$0.0,6.333%
